URL,Event,Date,R_Name,B_Name,R_Result,B_Result,Bout Type,Method,Round,Time,Format,Total Time,Referee,R_KD,B_KD,R_Sig. Str. Landed,R_Sig. Str. Attempted,R_Sig. Str. %,B_Sig. Str. Landed,B_Sig. Str. Attempted,B_Sig. Str. %,R_Total Str. Landed,R_Total Str. Attempted,B_Total Str. Landed,B_Total Str. Attempted,R_TD Landed,R_TD Attempted,R_TD %,B_TD Landed,B_TD Attempted,B_TD %,R_Sub. Att,B_Sub. Att,R_Ctrl,B_Ctrl
http://ufcstats.com/fight-details/567a09fd200cfa05,UFC 1: The Beginning,1993-11-12,Gerard Gordeau,Teila Tuli,W,L,Open Weight Bout,KO/TKO,1,0.43333333333333335,No Time Limit,0.43333333333333335,Joao Alberto Barreto,0.0,0.0,3.0,5.0,60.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,
http://ufcstats.com/fight-details/2d2bbc86e941e05c,UFC 1: The Beginning,1993-11-12,Kevin Rosier,Zane Frazier,W,L,Open Weight Bout,KO/TKO,1,4.333333333333333,No Time Limit,4.333333333333333,Joao Alberto Barreto,2.0,0.0,15.0,27.0,55.0,12.0,28.0,42.0,38.0,53.0,13.0,29.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,
http://ufcstats.com/fight-details/cecdc0da584274b9,UFC 1: The Beginning,1993-11-12,Royce Gracie,Art Jimmerson,W,L,Open Weight Bout,Submission,1,2.3,No Time Limit,2.3,Joao Alberto Barreto,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,4.0,7.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,
http://ufcstats.com/fight-details/46acd54cc0c905fb,UFC 1: The Beginning,1993-11-12,Ken Shamrock,Patrick Smith,W,L,Open Weight Bout,Submission,1,1.8166666666666667,No Time Limit,1.8166666666666667,Joao Alberto Barreto,0.0,0.0,1.0,1.0,100.0,4.0,8.0,50.0,4.0,4.0,16.0,20.0,1.0,2.0,50.0,0.0,0.0,,2.0,0.0,,
http://ufcstats.com/fight-details/ac7ca2ec38b96c1a,UFC 1: The Beginning,1993-11-12,Gerard Gordeau,Kevin Rosier,W,L,Open Weight Bout,KO/TKO,1,0.9833333333333333,No Time Limit,0.9833333333333333,Joao Alberto Barreto,1.0,0.0,11.0,17.0,64.0,0.0,3.0,0.0,11.0,17.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,
http://ufcstats.com/fight-details/ffd16691c4c4aafc,UFC 1: The Beginning,1993-11-12,Royce Gracie,Ken Shamrock,W,L,Open Weight Bout,Submission,1,0.95,No Time Limit,0.95,Joao Alberto Barreto,0.0,0.0,0.0,0.0,,0.0,0.0,,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,
http://ufcstats.com/fight-details/00b0796724ec1c09,UFC 1: The Beginning,1993-11-12,Jason DeLucia,Trent Jenkins,W,L,Open Weight Bout,Submission,1,0.8666666666666667,No Time Limit,0.8666666666666667,Joao Alberto Barreto,0.0,0.0,3.0,9.0,33.0,1.0,7.0,14.0,3.0,9.0,1.0,7.0,1.0,2.0,50.0,0.0,0.0,,1.0,0.0,,
http://ufcstats.com/fight-details/64139d1d505e46c5,UFC 1: The Beginning,1993-11-12,Royce Gracie,Gerard Gordeau,W,L,UFC 1 Tournament Title Bout,Submission,1,1.7333333333333334,No Time Limit,1.7333333333333334,Joao Alberto Barreto,0.0,0.0,1.0,2.0,50.0,0.0,0.0,,3.0,4.0,0.0,0.0,1.0,3.0,33.0,0.0,0.0,,1.0,0.0,,
http://ufcstats.com/fight-details/4acab67848e78327,UFC 2: No Way Out,1994-03-11,Scott Morris,Sean Daugherty,W,L,Open Weight Bout,Submission,1,0.3333333333333333,No Time Limit,0.3333333333333333,John McCarthy,0.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,2.0,2.0,1.0,5.0,1.0,1.0,100.0,0.0,0.0,,1.0,0.0,,
http://ufcstats.com/fight-details/4b9ae533ccb3fcdf,UFC 2: No Way Out,1994-03-11,Patrick Smith,Ray Wizard,W,L,Open Weight Bout,Submission,1,0.9666666666666667,No Time Limit,0.9666666666666667,John McCarthy,0.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,
